contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T101,Timing collision programme 1,2026-01-12,Construction,Non-live (Consist),1,2027-06-20,2027-04-04,1,PC,3
T102,Timing collision programme 2,2026-01-29,Renewal,Non-live (Others),2,2027-06-27,2027-04-11,2,C,3
T103,Timing collision programme 3,2026-02-15,Renewal,Non-live (Others),3,2027-07-04,2027-04-18,1,C,3
T104,Timing collision programme 4,2026-03-04,Construction,Non-live (Others),1,2027-07-11,2027-04-25,2,PM,3
T105,Timing collision programme 5,2026-03-21,Renewal,Non-live (Consist),2,2027-06-20,2027-04-04,1,PC,3
T106,Timing collision programme 6,2026-04-07,Renewal,Non-live (Others),3,2027-06-27,2027-04-11,2,C,3
T107,Timing collision programme 7,2026-04-24,Construction,Non-live (Others),1,2027-07-04,2027-04-18,1,C,3
T108,Timing collision programme 8,2026-05-11,Renewal,Non-live (Others),2,2027-07-11,2027-04-25,2,PM,3
T109,Timing collision programme 9,2026-05-28,Renewal,Non-live (Consist),3,2027-06-20,2027-04-04,1,PC,3
T110,Timing collision programme 10,2026-06-14,Construction,Non-live (Others),1,2027-06-27,2027-04-11,2,C,3
T111,Timing collision programme 11,2026-07-01,Renewal,Non-live (Others),2,2027-07-04,2027-04-18,1,C,3
T112,Timing collision programme 12,2026-07-18,Renewal,Non-live (Others),3,2027-07-11,2027-04-25,2,PM,3
