activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA1001,T101,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-11,,1
TA1002,T101,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-18,,2
TA1003,T101,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,4,2027-01-11,,3
TA1011,T102,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-01-11,,2
TA1012,T102,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,4,2027-01-18,,3
TA1013,T102,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,1
TA1021,T103,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,4,2027-01-11,,3
TA1022,T103,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-01-18,,1
TA1023,T103,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,2
TA1031,T104,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-01-11,,1
TA1032,T104,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,3,2027-01-18,,2
TA1033,T104,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-01-11,,3
TA1041,T105,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-01-11,,2
TA1042,T105,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-01-18,,3
TA1043,T105,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA1051,T106,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,4,2027-01-11,,3
TA1052,T106,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-18,,1
TA1053,T106,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA1061,T107,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,2,2027-01-11,,1
TA1062,T107,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-18,,2
TA1063,T107,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,4,2027-01-11,,3
TA1071,T108,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-01-11,,2
TA1072,T108,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,4,2027-01-18,,3
TA1073,T108,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,1
TA1081,T109,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,4,2027-01-11,,3
TA1082,T109,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-18,,1
TA1083,T109,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,2
TA1091,T110,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,1
TA1092,T110,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-18,,2
TA1093,T110,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-01-11,,3
TA1101,T111,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,3,2027-01-11,,2
TA1102,T111,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-01-18,,3
TA1103,T111,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA1111,T112,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,4,2027-01-11,,3
TA1112,T112,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-18,,1
TA1113,T112,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,2
