contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T201,Central bottleneck programme 1,2026-12-18,Renewal,Non-live (Consist),1,2027-06-13,2027-03-21,1,PC,3
T202,Central bottleneck programme 2,2027-01-04,Construction,Non-live (Others),1,2027-06-20,2027-03-28,1,C,3
T203,Central bottleneck programme 3,2027-01-21,Renewal,Non-live (Others),2,2027-06-27,2027-04-04,1,C,3
T204,Central bottleneck programme 4,2027-02-07,Construction,Non-live (Others),2,2027-07-04,2027-04-11,1,C,3
T205,Central bottleneck programme 5,2027-02-24,Renewal,Non-live (Others),3,2027-06-13,2027-03-21,1,PM,3
T206,Central bottleneck programme 6,2027-03-13,Construction,Non-live (Consist),3,2027-06-20,2027-03-28,1,PC,3
T207,Central bottleneck programme 7,2027-03-30,Renewal,Non-live (Others),1,2027-06-27,2027-04-04,1,C,3
T208,Central bottleneck programme 8,2027-04-16,Construction,Non-live (Others),1,2027-07-04,2027-04-11,1,C,3
T209,Central bottleneck programme 9,2027-05-03,Renewal,Non-live (Others),2,2027-06-13,2027-03-21,1,C,3
T210,Central bottleneck programme 10,2027-05-20,Construction,Non-live (Others),2,2027-06-20,2027-03-28,1,PM,3
