activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA2001,T201,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA2002,T201,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-01-11,,2
TA2003,T201,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-01-18,,3
TA2011,T202,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-01-04,,2
TA2012,T202,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-01-11,,3
TA2013,T202,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-01-18,,1
TA2021,T203,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-01-04,,3
TA2022,T203,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,1
TA2023,T203,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,4,2027-01-18,,2
TA2031,T204,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA2032,T204,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,4,2027-01-11,,2
TA2033,T204,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-01-18,,3
TA2041,T205,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,4,2027-01-04,,2
TA2042,T205,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-01-11,,3
TA2043,T205,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-01-18,,1
TA2051,T206,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-01-04,,3
TA2052,T206,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,1
TA2053,T206,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-01-18,,2
TA2061,T207,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA2062,T207,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,4,2027-01-11,,2
TA2063,T207,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-01-18,,3
TA2071,T208,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-01-04,,2
TA2072,T208,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-01-11,,3
TA2073,T208,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-01-18,,1
TA2081,T209,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-01-04,,3
TA2082,T209,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,1
TA2083,T209,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,4,2027-01-18,,2
TA2091,T210,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA2092,T210,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,4,2027-01-11,,2
TA2093,T210,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-01-18,,3
