contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T301,Dependency cascade programme 1,2027-11-23,Construction,Non-live (Consist),1,2027-06-27,2027-04-11,1,C,3
T302,Dependency cascade programme 2,2027-12-10,Renewal,Non-live (Others),2,2027-07-04,2027-04-18,2,PC,3
T303,Dependency cascade programme 3,2027-12-27,Construction,Non-live (Others),3,2027-07-11,2027-04-25,1,C,3
T304,Dependency cascade programme 4,2028-01-13,Renewal,Non-live (Consist),1,2027-06-27,2027-05-02,2,PM,3
T305,Dependency cascade programme 5,2028-01-30,Construction,Non-live (Others),2,2027-07-04,2027-05-09,1,C,3
T306,Dependency cascade programme 6,2028-02-16,Renewal,Non-live (Others),3,2027-07-11,2027-04-11,2,PC,3
T307,Dependency cascade programme 7,2028-03-04,Construction,Non-live (Consist),1,2027-06-27,2027-04-18,1,C,3
T308,Dependency cascade programme 8,2028-03-21,Renewal,Non-live (Others),2,2027-07-04,2027-04-25,2,PM,3
T309,Dependency cascade programme 9,2028-04-07,Construction,Non-live (Others),3,2027-07-11,2027-05-02,1,C,3
T310,Dependency cascade programme 10,2028-04-24,Renewal,Non-live (Consist),1,2027-06-27,2027-05-09,2,PC,3
