activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA3001,T301,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,1
TA3002,T301,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,TA3001,2
TA3003,T301,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,TA3002,3
TA3004,T301,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,3,2027-01-04,TA3003,1
TA3011,T302,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,2,2027-01-11,TA3004,2
TA3012,T302,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-01-11,TA3011,3
TA3013,T302,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-11,TA3012,1
TA3014,T302,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,3,2027-01-11,TA3013,2
TA3021,T303,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-18,,3
TA3022,T303,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,3,2027-01-18,TA3021,1
TA3023,T303,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-18,TA3022,2
TA3024,T303,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,3,2027-01-18,TA3023,3
TA3031,T304,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-04,TA3024,1
TA3032,T304,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,3,2027-01-04,TA3031,2
TA3033,T304,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2027-01-04,TA3032,3
TA3034,T304,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,3,2027-01-04,TA3033,1
TA3041,T305,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,2
TA3042,T305,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,3,2027-01-11,TA3041,3
TA3043,T305,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,2,2027-01-11,TA3042,1
TA3044,T305,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,TA3043,2
TA3051,T306,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-18,TA3044,3
TA3052,T306,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,3,2027-01-18,TA3051,1
TA3053,T306,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-18,TA3052,2
TA3054,T306,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,3,2027-01-18,TA3053,3
TA3061,T307,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,,1
TA3062,T307,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,3,2027-01-04,TA3061,2
TA3063,T307,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,TA3062,3
TA3064,T307,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S06_S07:WB,3,2027-01-04,TA3063,1
TA3071,T308,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2027-01-11,TA3064,2
TA3072,T308,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,3,2027-01-11,TA3071,3
TA3073,T308,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-11,TA3072,1
TA3074,T308,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,3,2027-01-11,TA3073,2
TA3081,T309,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,2,2027-01-18,,3
TA3082,T309,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-01-18,TA3081,1
TA3083,T309,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,2,2027-01-18,TA3082,2
TA3084,T309,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,3,2027-01-18,TA3083,3
TA3091,T310,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-04,TA3084,1
TA3092,T310,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,3,2027-01-04,TA3091,2
TA3093,T310,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,2,2027-01-04,TA3092,3
TA3094,T310,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,3,2027-01-04,TA3093,1
