contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T401,Live rail programme 1,2028-10-28,Renewal,Live,1,2027-06-20,2027-04-11,1,PC,2
T402,Live rail programme 2,2028-11-14,Construction,Live,2,2027-06-27,2027-04-18,1,PM,2
T403,Live rail programme 3,2028-12-01,Renewal,Live,3,2027-07-04,2027-04-25,1,PC,2
T404,Live rail programme 4,2028-12-18,Construction,Live,1,2027-07-11,2027-05-02,1,PM,2
T405,Live rail programme 5,2029-01-04,Renewal,Live,2,2027-06-20,2027-05-09,1,PC,2
T406,Live rail programme 6,2029-01-21,Construction,Live,3,2027-06-27,2027-04-11,1,PM,2
T407,Interchange support programme 7,2029-02-07,Renewal,Non-live (Consist),1,2027-07-04,2027-04-18,1,C,3
T408,Interchange support programme 8,2029-02-24,Construction,Non-live (Others),2,2027-07-11,2027-04-25,1,PC,3
T409,Interchange support programme 9,2029-03-13,Renewal,Non-live (Consist),3,2027-06-20,2027-05-02,1,C,3
T410,Interchange support programme 10,2029-03-30,Construction,Non-live (Others),1,2027-06-27,2027-05-09,1,PC,3
