activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA4001,T401,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,1
TA4002,T401,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-18,,2
TA4003,T401,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-18,,3
TA4011,T402,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-25,,2
TA4012,T402,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,2,2027-01-25,,3
TA4013,T402,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-25,,1
TA4021,T403,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-02-01,,3
TA4022,T403,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-02-01,,1
TA4023,T403,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-02-01,,2
TA4031,T404,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-02-08,,1
TA4032,T404,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-02-08,,2
TA4033,T404,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-02-08,,3
TA4041,T405,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,2
TA4042,T405,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-18,,3
TA4043,T405,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-18,,1
TA4051,T406,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-25,,3
TA4052,T406,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,2,2027-01-25,,1
TA4053,T406,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-25,,2
TA4061,T407,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-02-01,,1
TA4062,T407,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-02-01,,2
TA4063,T407,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-02-01,,3
TA4071,T408,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-02-08,,2
TA4072,T408,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-02-08,,3
TA4073,T408,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-02-08,,1
TA4081,T409,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,3
TA4082,T409,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-18,,1
TA4083,T409,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-18,,2
TA4091,T410,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-25,,1
TA4092,T410,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,2,2027-01-25,,2
TA4093,T410,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-25,,3
