activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA5001,T501,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA5002,T501,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA5003,T501,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,3
TA5011,T502,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA5012,T502,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA5013,T502,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,1
TA5021,T503,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA5022,T503,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA5023,T503,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,2
TA5031,T504,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA5032,T504,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA5033,T504,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,3
TA5041,T505,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA5042,T505,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA5043,T505,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,1
TA5051,T506,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA5052,T506,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA5053,T506,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,2
TA5061,T507,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA5062,T507,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,2
TA5063,T507,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,3
TA5071,T508,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,2
TA5072,T508,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,3
TA5073,T508,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,1
TA5081,T509,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,3
TA5082,T509,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA5083,T509,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,2
TA5091,T510,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA5092,T510,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,2
TA5093,T510,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,3
TA5101,T511,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,2
TA5102,T511,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,3
TA5103,T511,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,1
TA5111,T512,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,3
TA5112,T512,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA5113,T512,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA5121,T513,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA5122,T513,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA5123,T513,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,3
TA5131,T514,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA5132,T514,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA5133,T514,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,1
