activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA6001,T601,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA6002,T601,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA6011,T602,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA6012,T602,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,3
TA6021,T603,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA6022,T603,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,1
TA6031,T604,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA6032,T604,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,2
TA6041,T605,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA6042,T605,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,3
TA6051,T606,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA6052,T606,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,1
TA6061,T607,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA6062,T607,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,2
TA6071,T608,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,2
TA6072,T608,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,3
TA6081,T609,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,3
TA6082,T609,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,1
TA6091,T610,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA6092,T610,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,2
TA6101,T611,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,2
TA6102,T611,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,3
TA6111,T612,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,3
TA6112,T612,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,1
TA6121,T613,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA6122,T613,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA6131,T614,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA6132,T614,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,3
TA6141,T615,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA6142,T615,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,1
