activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA7001,T701,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA7002,T701,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,2,2027-01-04,,2
TA7003,T701,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-01-04,,3
TA7004,T701,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
TA7005,T701,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-01-04,,2
TA7006,T701,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,2,2027-01-04,,3
TA7007,T701,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-01-04,,1
TA7008,T701,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,2,2027-01-04,,2
TA7011,T702,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,1,2027-01-04,,1
TA7012,T702,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-04,,2
TA7013,T702,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-01-04,,3
TA7014,T702,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,1
TA7015,T702,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-01-04,,2
TA7016,T702,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,2,2027-01-04,,3
TA7017,T702,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,1,2027-01-04,,1
TA7018,T702,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-01-04,,2
TA7021,T703,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-01-04,,1
TA7022,T703,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA7023,T703,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-01-04,,3
TA7024,T703,Construction,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-04,,1
TA7025,T703,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-01-04,,2
TA7026,T703,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,2,2027-01-04,,3
TA7027,T703,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,1
TA7028,T703,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,2,2027-01-04,,2
TA7031,T704,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,1,2027-01-04,,1
TA7032,T704,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-04,,2
TA7033,T704,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,1,2027-01-04,,3
TA7034,T704,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-01-04,,1
TA7035,T704,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,1,2027-01-04,,2
TA7036,T704,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,3
TA7037,T704,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,1,2027-01-04,,1
TA7038,T704,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,,2
TA7041,T705,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-01-04,,1
TA7042,T705,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,2,2027-01-04,,2
TA7043,T705,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-01-04,,3
TA7044,T705,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,2,2027-01-04,,1
TA7045,T705,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
TA7046,T705,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,2,2027-01-04,,3
TA7047,T705,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-01-04,,1
TA7048,T705,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,2
TA7051,T706,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-01-04,,1
