activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA8001,T801,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,3,2027-01-04,,1
TA8002,T801,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,4,2027-01-04,,2
TA8003,T801,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,5,2027-01-04,,3
TA8004,T801,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA8005,T801,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-01-04,,2
TA8011,T802,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,4,2027-01-04,,1
TA8012,T802,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-01-04,,2
TA8013,T802,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,3
TA8014,T802,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,4,2027-01-04,,1
TA8015,T802,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,5,2027-01-04,,2
TA8021,T803,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-01-04,,1
TA8022,T803,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,3,2027-01-04,,2
TA8023,T803,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,4,2027-01-04,,3
TA8024,T803,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,5,2027-01-04,,1
TA8025,T803,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-01-04,,2
TA8031,T804,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-01-04,,1
TA8032,T804,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,4,2027-01-04,,2
TA8033,T804,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,5,2027-01-04,,3
TA8034,T804,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-04,,1
TA8035,T804,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,4,2027-01-04,,2
TA8041,T805,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,4,2027-01-04,,1
TA8042,T805,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,5,2027-01-04,,2
TA8043,T805,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-04,,3
TA8044,T805,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-01-04,,1
TA8045,T805,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-01-04,,2
TA8051,T806,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,5,2027-01-04,,1
TA8052,T806,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA8053,T806,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-04,,3
TA8054,T806,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,5,2027-01-04,,1
TA8055,T806,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-04,,2
TA8061,T807,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,1
TA8062,T807,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,4,2027-01-04,,2
TA8063,T807,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,5,2027-01-04,,3
TA8064,T807,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,3,2027-01-04,,1
TA8065,T807,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,4,2027-01-04,,2
TA8071,T808,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,4,2027-01-04,,1
TA8072,T808,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,5,2027-01-04,,2
TA8073,T808,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,3,2027-01-04,,3
TA8074,T808,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,4,2027-01-04,,1
TA8075,T808,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,5,2027-01-04,,2
