activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA9001,T901,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-18,,1
TA9002,T901,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-01-18,,2
TA9011,T902,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2027-01-18,,2
TA9012,T902,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-18,,3
TA9021,T903,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-18,,3
TA9022,T903,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-18,,1
TA9031,T904,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-18,,1
TA9032,T904,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-18,,2
TA9041,T905,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,2,2027-01-18,,2
TA9042,T905,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,3,2027-01-18,,3
TA9051,T906,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,3,2027-01-18,,3
TA9052,T906,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-18,,1
TA9061,T907,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,2,2027-01-18,,1
TA9062,T907,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-18,,2
TA9071,T908,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-01-18,,2
TA9072,T908,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-18,,3
TA9081,T909,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,3
TA9082,T909,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-18,,1
TA9091,T910,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-01-18,,1
TA9092,T910,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-01-18,,2
TA9101,T911,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-01-18,,2
TA9102,T911,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-18,,3
TA9111,T912,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,3,2027-01-18,,3
TA9112,T912,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-18,,1
