contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T1001,Opposite bound independence programme 1,2035-05-05,Construction,Non-live (Others),1,2027-06-20,2027-04-04,1,PC,3
T1002,Opposite bound independence programme 2,2035-05-22,Renewal,Non-live (Others),2,2027-06-20,2027-04-11,1,C,3
T1003,Opposite bound independence programme 3,2035-06-08,Construction,Non-live (Others),3,2027-06-20,2027-04-18,1,C,3
T1004,Opposite bound independence programme 4,2035-06-25,Renewal,Non-live (Others),1,2027-06-20,2027-04-04,1,PC,3
T1005,Opposite bound independence programme 5,2035-07-12,Construction,Non-live (Others),2,2027-06-20,2027-04-11,1,C,3
T1006,Opposite bound independence programme 6,2035-07-29,Renewal,Non-live (Others),3,2027-06-20,2027-04-18,1,C,3
T1007,Opposite bound independence programme 7,2035-08-15,Construction,Non-live (Others),1,2027-06-20,2027-04-04,1,PC,3
T1008,Opposite bound independence programme 8,2035-09-01,Renewal,Non-live (Others),2,2027-06-20,2027-04-11,1,C,3
T1009,Opposite bound independence programme 9,2035-09-18,Construction,Non-live (Others),3,2027-06-20,2027-04-18,1,C,3
T1010,Opposite bound independence programme 10,2035-10-05,Renewal,Non-live (Others),1,2027-06-20,2027-04-04,1,PC,3
T1011,Opposite bound Live programme 11,2035-10-22,Construction,Live,2,2027-06-20,2027-04-11,1,PM,2
T1012,Opposite bound Live programme 12,2035-11-08,Renewal,Live,3,2027-06-20,2027-04-18,1,PM,2
