activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA10001,T1001,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,1
TA10002,T1001,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,2
TA10011,T1002,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-11,,2
TA10012,T1002,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA10021,T1003,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,3
TA10022,T1003,Construction,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA10031,T1004,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,3,2027-01-11,,1
TA10032,T1004,Renewal,SEC:BET:S13_S14:WB,SEC:BET:H01_H02:WB,2,2027-01-11,,2
TA10041,T1005,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA10042,T1005,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,3
TA10051,T1006,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,3
TA10052,T1006,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,1
TA10061,T1007,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-01-11,,1
TA10062,T1007,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA10071,T1008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,2
TA10072,T1008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,3
TA10081,T1009,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,3
TA10082,T1009,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,3,2027-01-11,,1
TA10091,T1010,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,1
TA10092,T1010,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,2,2027-01-11,,2
TA10101,T1011,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,2
TA10102,T1011,Construction,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,3,2027-01-11,,3
TA10111,T1012,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,3
TA10112,T1012,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,2,2027-01-11,,1
