contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T1101,Interchange line independence programme 1,2036-04-09,Renewal,Non-live (Consist),1,2027-06-27,2027-04-04,1,PC,3
T1102,Interchange line independence programme 2,2036-04-26,Construction,Non-live (Others),2,2027-06-27,2027-04-11,1,C,3
T1103,Interchange line independence programme 3,2036-05-13,Renewal,Non-live (Others),3,2027-06-27,2027-04-18,1,C,3
T1104,Interchange line independence programme 4,2036-05-30,Construction,Non-live (Consist),1,2027-06-27,2027-04-25,1,C,3
T1105,Interchange line independence programme 5,2036-06-16,Renewal,Non-live (Others),2,2027-06-27,2027-04-04,1,PC,3
T1106,Interchange line independence programme 6,2036-07-03,Construction,Non-live (Others),3,2027-06-27,2027-04-11,1,C,3
T1107,Interchange line independence programme 7,2036-07-20,Renewal,Non-live (Consist),1,2027-06-27,2027-04-18,1,C,3
T1108,Interchange line independence programme 8,2036-08-06,Construction,Non-live (Others),2,2027-06-27,2027-04-25,1,C,3
T1109,Interchange line independence programme 9,2036-08-23,Renewal,Non-live (Others),3,2027-06-27,2027-04-04,1,PC,3
T1110,Interchange line independence programme 10,2036-09-09,Construction,Non-live (Consist),1,2027-06-27,2027-04-11,1,C,3
T1111,Interchange line Live coupling programme 11,2036-09-26,Renewal,Live,2,2027-06-27,2027-04-18,1,PM,2
T1112,Interchange line Live coupling programme 12,2036-10-13,Construction,Live,3,2027-06-27,2027-04-25,1,PM,2
