activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA11001,T1101,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA11002,T1101,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,2
TA11011,T1102,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA11012,T1102,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,3
TA11021,T1103,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA11022,T1103,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,1
TA11031,T1104,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA11032,T1104,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,2
TA11041,T1105,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA11042,T1105,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,3
TA11051,T1106,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA11052,T1106,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,1
TA11061,T1107,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA11062,T1107,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,2
TA11071,T1108,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,2
TA11072,T1108,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,3
TA11081,T1109,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,3
TA11082,T1109,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,1
TA11091,T1110,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA11092,T1110,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,2
TA11101,T1111,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,2
TA11102,T1111,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,3
TA11111,T1112,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,3
TA11112,T1112,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,1
