activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA12001,T1201,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,5,2027-02-08,,1
TA12002,T1201,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,6,2027-02-08,,2
TA12003,T1201,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,5,2027-02-08,,3
TA12011,T1202,Construction,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,6,2027-02-15,,2
TA12012,T1202,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-02-15,,3
TA12013,T1202,Construction,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,6,2027-02-15,,1
TA12021,T1203,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,5,2027-02-22,,3
TA12022,T1203,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,6,2027-02-22,,1
TA12023,T1203,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S07_S08:EB,5,2027-02-22,,2
TA12031,T1204,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,6,2027-02-08,,1
TA12032,T1204,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,5,2027-02-08,,2
TA12033,T1204,Construction,SEC:BET:S11_S12:EB,SEC:BET:S13_S14:EB,6,2027-02-08,,3
TA12041,T1205,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,5,2027-02-15,,2
TA12042,T1205,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,6,2027-02-15,,3
TA12043,T1205,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,5,2027-02-15,,1
TA12051,T1206,Construction,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,6,2027-02-22,,3
TA12052,T1206,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,5,2027-02-22,,1
TA12053,T1206,Construction,SEC:BET:S13_S14:WB,SEC:BET:H01_H02:WB,6,2027-02-22,,2
TA12061,T1207,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,5,2027-02-08,,1
TA12062,T1207,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,6,2027-02-08,,2
TA12063,T1207,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,5,2027-02-08,,3
TA12071,T1208,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,6,2027-02-15,,2
TA12072,T1208,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,5,2027-02-15,,3
TA12073,T1208,Construction,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,6,2027-02-15,,1
