activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA13001,T1301,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,1
TA13002,T1301,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA13003,T1301,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,3
TA13011,T1302,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA13012,T1302,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,2
TA13013,T1302,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA13021,T1303,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,1
TA13022,T1303,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,2
TA13023,T1303,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,3
TA13031,T1304,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA13032,T1304,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,2
TA13033,T1304,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,3
TA13041,T1305,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,1
TA13042,T1305,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA13043,T1305,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,3
TA13051,T1306,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA13052,T1306,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,2
TA13053,T1306,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA13061,T1307,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,1
TA13062,T1307,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,2
TA13063,T1307,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,3
TA13071,T1308,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA13072,T1308,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,2
TA13073,T1308,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,3
TA13081,T1309,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,1
TA13082,T1309,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,2
TA13083,T1309,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,3
