activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA14001,T1401,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-06-14,,1
TA14002,T1401,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-06-14,TA14001,2
TA14011,T1402,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-06-21,,2
TA14012,T1402,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-06-21,TA14011,3
TA14021,T1403,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-06-28,,3
TA14022,T1403,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-06-28,TA14021,1
TA14031,T1404,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-06-14,,1
TA14032,T1404,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,2,2027-06-14,TA14031,2
TA14041,T1405,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-06-21,,2
TA14042,T1405,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,3,2027-06-21,TA14041,3
TA14051,T1406,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-06-28,,3
TA14052,T1406,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-06-28,TA14051,1
TA14061,T1407,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-06-14,,1
TA14062,T1407,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-06-14,TA14061,2
TA14071,T1408,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-06-21,,2
TA14072,T1408,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,2,2027-06-21,TA14071,3
