activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA15001,T1501,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,1
TA15002,T1501,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA15003,T1501,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,4,2027-01-04,TA15001,3
TA15011,T1502,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-11,,2
TA15012,T1502,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,4,2027-01-11,,3
TA15013,T1502,Construction,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-11,,1
TA15021,T1503,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,4,2027-01-18,,3
TA15022,T1503,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,2,2027-01-18,,1
TA15023,T1503,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,3,2027-01-18,,2
TA15031,T1504,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-25,,1
TA15032,T1504,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,3,2027-01-25,,2
TA15033,T1504,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,4,2027-01-25,TA15031,3
TA15041,T1505,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-02-01,,2
TA15042,T1505,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,4,2027-02-01,,3
TA15043,T1505,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,2,2027-02-01,,1
TA15051,T1506,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,4,2027-02-08,,3
TA15052,T1506,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,2,2027-02-08,,1
TA15053,T1506,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,3,2027-02-08,,2
TA15061,T1507,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-02-15,,1
TA15062,T1507,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,3,2027-02-15,,2
TA15063,T1507,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-02-15,TA15061,3
TA15071,T1508,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,3,2027-02-22,,2
TA15072,T1508,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,4,2027-02-22,,3
TA15073,T1508,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-02-22,,1
TA15081,T1509,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,4,2027-01-04,,3
TA15082,T1509,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,2,2027-01-04,,1
TA15083,T1509,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-01-04,,2
TA15091,T1510,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,1
TA15092,T1510,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,3,2027-01-11,,2
TA15093,T1510,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,4,2027-01-11,TA15091,3
TA15101,T1511,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-18,,2
TA15102,T1511,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,4,2027-01-18,,3
TA15103,T1511,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-18,,1
TA15111,T1512,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-25,,3
TA15112,T1512,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S07_S08:EB,2,2027-01-25,,1
TA15113,T1512,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-25,,2
TA15121,T1513,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,2,2027-02-01,,1
