contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T1601,Ultra congestion programme 1,2040-12-04,Renewal,Non-live (Others),1,2027-07-18,2027-03-14,1,PM,3
T1602,Ultra congestion programme 2,2040-12-21,Construction,Non-live (Others),2,2027-07-18,2027-03-14,1,PM,3
T1603,Ultra congestion programme 3,2041-01-07,Renewal,Non-live (Others),3,2027-07-18,2027-03-14,1,PM,3
T1604,Ultra congestion programme 4,2041-01-24,Construction,Non-live (Others),1,2027-07-18,2027-03-14,1,PM,3
T1605,Ultra congestion programme 5,2041-02-10,Renewal,Non-live (Others),2,2027-07-18,2027-03-14,1,PM,3
T1606,Ultra congestion programme 6,2041-02-27,Construction,Non-live (Others),3,2027-07-18,2027-03-14,1,PM,3
T1607,Ultra congestion programme 7,2041-03-16,Renewal,Non-live (Others),1,2027-07-18,2027-03-14,1,PM,3
T1608,Ultra congestion programme 8,2041-04-02,Construction,Non-live (Others),2,2027-07-18,2027-03-14,1,PM,3
T1609,Ultra congestion programme 9,2041-04-19,Renewal,Non-live (Others),3,2027-07-18,2027-03-14,1,PM,3
T1610,Ultra congestion programme 10,2041-05-06,Construction,Non-live (Others),1,2027-07-18,2027-03-14,1,PM,3
T1611,Ultra congestion programme 11,2041-05-23,Renewal,Non-live (Others),2,2027-07-18,2027-03-14,1,PM,3
T1612,Ultra congestion programme 12,2041-06-09,Construction,Non-live (Others),3,2027-07-18,2027-03-14,1,PM,3
T1613,Ultra congestion programme 13,2041-06-26,Renewal,Non-live (Others),1,2027-07-18,2027-03-14,1,PM,3
T1614,Ultra congestion programme 14,2041-07-13,Construction,Non-live (Others),2,2027-07-18,2027-03-14,1,PM,3
T1615,Ultra congestion programme 15,2041-07-30,Renewal,Non-live (Others),3,2027-07-18,2027-03-14,1,PM,3
T1616,Ultra congestion programme 16,2041-08-16,Construction,Non-live (Others),1,2027-07-18,2027-03-14,1,PM,3
T1617,Ultra congestion programme 17,2041-09-02,Renewal,Non-live (Others),2,2027-07-18,2027-03-14,1,PM,3
T1618,Ultra congestion programme 18,2041-09-19,Construction,Non-live (Others),3,2027-07-18,2027-03-14,1,PM,3
