activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA16001,T1601,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA16002,T1601,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-01-04,,2
TA16003,T1601,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA16011,T1602,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-01-04,,2
TA16012,T1602,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA16013,T1602,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-01-04,,1
TA16021,T1603,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA16022,T1603,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-04,,1
TA16023,T1603,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,2
TA16031,T1604,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-01-04,,1
TA16032,T1604,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,2
TA16033,T1604,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-04,,3
TA16041,T1605,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA16042,T1605,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-01-04,,3
TA16043,T1605,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,1
TA16051,T1606,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-01-04,,3
TA16052,T1606,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,1
TA16053,T1606,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-01-04,,2
TA16061,T1607,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA16062,T1607,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-04,,2
TA16063,T1607,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,3
TA16071,T1608,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-01-04,,2
TA16072,T1608,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,3
TA16073,T1608,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-04,,1
TA16081,T1609,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA16082,T1609,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-01-04,,1
TA16083,T1609,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,2
TA16091,T1610,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-01-04,,1
TA16092,T1610,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,2
TA16093,T1610,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-01-04,,3
TA16101,T1611,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA16102,T1611,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-04,,3
TA16103,T1611,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,1
TA16111,T1612,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-01-04,,3
TA16112,T1612,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,1
TA16113,T1612,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-04,,2
