contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T1701,Live interchange surge 1,2041-11-09,Renewal,Live,1,2027-07-18,2027-04-18,1,PC,2
T1702,Live interchange surge 2,2041-11-26,Construction,Live,2,2027-07-18,2027-04-25,1,PM,2
T1703,Live interchange surge 3,2041-12-13,Renewal,Live,3,2027-07-18,2027-04-18,1,PC,2
T1704,Live interchange surge 4,2041-12-30,Construction,Live,1,2027-07-18,2027-04-25,1,PM,2
T1705,Live interchange surge 5,2042-01-16,Renewal,Live,2,2027-07-18,2027-04-18,1,PC,2
T1706,Live interchange surge 6,2042-02-02,Construction,Live,3,2027-07-18,2027-04-25,1,PM,2
T1707,Live interchange surge 7,2042-02-19,Renewal,Live,1,2027-07-18,2027-04-18,1,PC,2
T1708,Live interchange surge 8,2042-03-08,Construction,Live,2,2027-07-18,2027-04-25,1,PM,2
T1709,Live interchange surge 9,2042-03-25,Renewal,Live,3,2027-07-18,2027-04-18,1,PC,2
T1710,Live interchange surge 10,2042-04-11,Construction,Live,1,2027-07-18,2027-04-25,1,PM,2
