activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA17001,T1701,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA17002,T1701,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,3,2027-01-11,,2
TA17003,T1701,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-11,,3
TA17011,T1702,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-18,,2
TA17012,T1702,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-18,,3
TA17013,T1702,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-18,,1
TA17021,T1703,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-25,,3
TA17022,T1703,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-25,,1
TA17023,T1703,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-01-25,,2
TA17031,T1704,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA17032,T1704,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-11,,2
TA17033,T1704,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-01-11,,3
TA17041,T1705,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,2
TA17042,T1705,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,3,2027-01-18,,3
TA17043,T1705,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-18,,1
TA17051,T1706,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-25,,3
TA17052,T1706,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-25,,1
TA17053,T1706,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-25,,2
TA17061,T1707,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA17062,T1707,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-11,,2
TA17063,T1707,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-01-11,,3
TA17071,T1708,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-18,,2
TA17072,T1708,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-18,,3
TA17073,T1708,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-01-18,,1
TA17081,T1709,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-25,,3
TA17082,T1709,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,3,2027-01-25,,1
TA17083,T1709,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-25,,2
TA17091,T1710,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA17092,T1710,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,2
TA17093,T1710,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-11,,3
