activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA18001,T1801,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,1
TA18002,T1801,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-04,TA18001,2
TA18003,T1801,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-04,TA18002,3
TA18004,T1801,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,TA18003,1
TA18005,T1801,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,TA18004,2
TA18011,T1802,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,2,2027-01-04,,1
TA18012,T1802,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-01-04,TA18011,2
TA18013,T1802,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-04,TA18012,3
TA18014,T1802,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,TA18013,1
TA18015,T1802,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-04,TA18014,2
TA18021,T1803,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-04,,1
TA18022,T1803,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,TA18021,2
TA18023,T1803,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,TA18022,3
TA18024,T1803,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-01-04,TA18023,1
TA18025,T1803,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,TA18024,2
TA18031,T1804,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
TA18032,T1804,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,TA18031,2
TA18033,T1804,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-04,TA18032,3
TA18034,T1804,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-04,TA18033,1
TA18035,T1804,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2027-01-04,TA18034,2
TA18041,T1805,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,1
TA18042,T1805,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-01-04,TA18041,2
TA18043,T1805,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,TA18042,3
TA18044,T1805,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-01-04,TA18043,1
TA18045,T1805,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,2,2027-01-04,TA18044,2
TA18051,T1806,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-04,,1
TA18052,T1806,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-04,TA18051,2
TA18053,T1806,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2027-01-04,TA18052,3
TA18054,T1806,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-04,TA18053,1
TA18055,T1806,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-04,TA18054,2
TA18061,T1807,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,,1
TA18062,T1807,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-01-04,TA18061,2
TA18063,T1807,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,2,2027-01-04,TA18062,3
TA18064,T1807,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-04,TA18063,1
TA18065,T1807,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,TA18064,2
TA18071,T1808,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,1
TA18072,T1808,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-04,TA18071,2
TA18073,T1808,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-01-04,TA18072,3
TA18074,T1808,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,TA18073,1
TA18075,T1808,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-04,TA18074,2
