activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA19001,T1901,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,1
TA19002,T1901,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-04,TA19001,2
TA19003,T1901,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,TA19002,3
TA19011,T1902,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-11,TA19003,2
TA19012,T1902,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,TA19011,3
TA19013,T1902,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-11,TA19012,1
TA19021,T1903,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,TA19013,3
TA19022,T1903,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-04,TA19021,1
TA19023,T1903,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,TA19022,2
TA19031,T1904,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,2,2027-01-11,,1
TA19032,T1904,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-01-11,TA19031,2
TA19033,T1904,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-01-11,TA19032,3
TA19041,T1905,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,TA19033,2
TA19042,T1905,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-04,TA19041,3
TA19043,T1905,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,TA19042,1
TA19051,T1906,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-11,TA19043,3
TA19052,T1906,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,TA19051,1
TA19053,T1906,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-11,TA19052,2
TA19061,T1907,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,1
TA19062,T1907,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-04,TA19061,2
TA19063,T1907,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,TA19062,3
TA19071,T1908,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,2,2027-01-11,TA19063,2
TA19072,T1908,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-01-11,TA19071,3
TA19073,T1908,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-01-11,TA19072,1
TA19081,T1909,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,TA19073,3
TA19082,T1909,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-04,TA19081,1
TA19083,T1909,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,TA19082,2
TA19091,T1910,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,1
TA19092,T1910,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,TA19091,2
TA19093,T1910,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-11,TA19092,3
TA19101,T1911,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,TA19093,2
TA19102,T1911,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-04,TA19101,3
TA19103,T1911,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,TA19102,1
TA19111,T1912,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,2,2027-01-11,TA19103,3
TA19112,T1912,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-01-11,TA19111,1
TA19113,T1912,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-01-11,TA19112,2
