contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T2001,Deadline priority crunch 1,2044-08-25,Construction,Non-live (Others),1,2027-07-04,2027-02-28,1,PM,3
T2002,Deadline priority crunch 2,2044-09-11,Renewal,Non-live (Others),1,2027-07-04,2027-02-28,1,PM,3
T2003,Deadline priority crunch 3,2044-09-28,Construction,Non-live (Others),1,2027-07-04,2027-02-28,1,PM,3
T2004,Deadline priority crunch 4,2044-10-15,Renewal,Non-live (Others),1,2027-07-04,2027-02-28,1,PM,3
T2005,Deadline priority crunch 5,2044-11-01,Construction,Non-live (Others),1,2027-07-04,2027-02-28,1,PM,3
T2006,Deadline priority crunch 6,2044-11-18,Renewal,Non-live (Others),1,2027-07-04,2027-02-28,1,PM,3
T2007,Deadline priority crunch 7,2044-12-05,Construction,Non-live (Others),2,2027-07-04,2027-02-28,1,PM,3
T2008,Deadline priority crunch 8,2044-12-22,Renewal,Non-live (Others),2,2027-07-04,2027-02-28,1,PM,3
T2009,Deadline priority crunch 9,2045-01-08,Construction,Non-live (Others),2,2027-07-04,2027-02-28,1,PM,3
T2010,Deadline priority crunch 10,2045-01-25,Renewal,Non-live (Others),2,2027-07-04,2027-02-28,1,PM,3
T2011,Deadline priority crunch 11,2045-02-11,Construction,Non-live (Others),2,2027-07-04,2027-02-28,1,PM,3
T2012,Deadline priority crunch 12,2045-02-28,Renewal,Non-live (Others),2,2027-07-04,2027-02-28,1,PM,3
T2013,Deadline priority crunch 13,2045-03-17,Construction,Non-live (Others),3,2027-07-04,2027-02-28,1,PM,3
T2014,Deadline priority crunch 14,2045-04-03,Renewal,Non-live (Others),3,2027-07-04,2027-02-28,1,PM,3
T2015,Deadline priority crunch 15,2045-04-20,Construction,Non-live (Others),3,2027-07-04,2027-02-28,1,PM,3
T2016,Deadline priority crunch 16,2045-05-07,Renewal,Non-live (Others),3,2027-07-04,2027-02-28,1,PM,3
T2017,Deadline priority crunch 17,2045-05-24,Construction,Non-live (Others),3,2027-07-04,2027-02-28,1,PM,3
T2018,Deadline priority crunch 18,2045-06-10,Renewal,Non-live (Others),3,2027-07-04,2027-02-28,1,PM,3
