activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA20001,T2001,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA20002,T2001,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,2
TA20011,T2002,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA20012,T2002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA20021,T2003,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA20022,T2003,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,1
TA20031,T2004,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA20032,T2004,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,2
TA20041,T2005,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA20042,T2005,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
TA20051,T2006,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA20052,T2006,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,1
TA20061,T2007,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA20062,T2007,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,2
TA20071,T2008,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA20072,T2008,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,3
TA20081,T2009,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA20082,T2009,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,1
TA20091,T2010,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA20092,T2010,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,2
TA20101,T2011,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA20102,T2011,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,3
TA20111,T2012,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA20112,T2012,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,1
TA20121,T2013,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA20122,T2013,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,2
TA20131,T2014,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA20132,T2014,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA20141,T2015,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA20142,T2015,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,1
TA20151,T2016,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA20152,T2016,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,2
TA20161,T2017,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA20162,T2017,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
TA20171,T2018,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA20172,T2018,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,1
