contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T2101,Minimum supply programme 1,2045-07-31,Renewal,Non-live (Others),1,2027-07-25,2027-05-09,1,PC,3
T2102,Minimum supply programme 2,2045-08-17,Construction,Non-live (Consist),2,2027-07-25,2027-05-09,2,C,3
T2103,Minimum supply programme 3,2045-09-03,Renewal,Non-live (Others),3,2027-07-25,2027-05-09,1,PM,3
T2104,Minimum supply programme 4,2045-09-20,Construction,Non-live (Consist),1,2027-07-25,2027-05-09,2,PC,3
T2105,Minimum supply programme 5,2045-10-07,Renewal,Non-live (Others),2,2027-07-25,2027-05-09,1,C,3
T2106,Minimum supply programme 6,2045-10-24,Construction,Non-live (Consist),3,2027-07-25,2027-05-09,2,PM,3
T2107,Minimum supply programme 7,2045-11-10,Renewal,Non-live (Others),1,2027-07-25,2027-05-09,1,PC,3
T2108,Minimum supply programme 8,2045-11-27,Construction,Non-live (Consist),2,2027-07-25,2027-05-09,2,C,3
T2109,Minimum supply programme 9,2045-12-14,Renewal,Non-live (Others),3,2027-07-25,2027-05-09,1,PM,3
T2110,Minimum supply programme 10,2045-12-31,Construction,Non-live (Consist),1,2027-07-25,2027-05-09,2,PC,3
T2111,Minimum supply programme 11,2046-01-17,Renewal,Non-live (Others),2,2027-07-25,2027-05-09,1,C,3
T2112,Minimum supply programme 12,2046-02-03,Construction,Non-live (Consist),3,2027-07-25,2027-05-09,2,PM,3
