activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA21001,T2101,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2027-01-04,,1
TA21002,T2101,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-04,,2
TA21003,T2101,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,4,2027-01-04,,3
TA21011,T2102,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2027-01-11,,2
TA21012,T2102,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-01-11,,3
TA21013,T2102,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-11,,1
TA21021,T2103,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-01-18,,3
TA21022,T2103,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,2,2027-01-18,,1
TA21023,T2103,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-01-18,,2
TA21031,T2104,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,2,2027-01-25,,1
TA21032,T2104,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,3,2027-01-25,,2
TA21033,T2104,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,4,2027-01-25,,3
TA21041,T2105,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,3,2027-01-04,,2
TA21042,T2105,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,4,2027-01-04,,3
TA21043,T2105,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,2,2027-01-04,,1
TA21051,T2106,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,4,2027-01-11,,3
TA21052,T2106,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA21053,T2106,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,2
TA21061,T2107,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-18,,1
TA21062,T2107,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,3,2027-01-18,,2
TA21063,T2107,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,4,2027-01-18,,3
TA21071,T2108,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,3,2027-01-25,,2
TA21072,T2108,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,4,2027-01-25,,3
TA21073,T2108,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-01-25,,1
TA21081,T2109,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,4,2027-01-04,,3
TA21082,T2109,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-04,,1
TA21083,T2109,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,3,2027-01-04,,2
TA21091,T2110,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,2,2027-01-11,,1
TA21092,T2110,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,2
TA21093,T2110,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-01-11,,3
TA21101,T2111,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-18,,2
TA21102,T2111,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,4,2027-01-18,,3
TA21103,T2111,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,2,2027-01-18,,1
TA21111,T2112,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,4,2027-01-25,,3
TA21112,T2112,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-01-25,,1
TA21113,T2112,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,3,2027-01-25,,2
