contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T2201,Alpha failure programme 1,2046-07-06,Construction,Non-live (Consist),1,2027-07-18,2027-04-18,1,C,3
T2202,Alpha failure programme 2,2046-07-23,Renewal,Non-live (Others),2,2027-07-18,2027-04-25,1,PC,3
T2203,Alpha failure programme 3,2046-08-09,Construction,Non-live (Others),3,2027-07-18,2027-05-02,1,PM,3
T2204,Alpha failure programme 4,2046-08-26,Renewal,Non-live (Others),1,2027-07-18,2027-04-18,1,C,3
T2205,Alpha failure programme 5,2046-09-12,Construction,Non-live (Consist),2,2027-07-18,2027-04-25,1,PC,3
T2206,Alpha failure programme 6,2046-09-29,Renewal,Non-live (Others),3,2027-07-18,2027-05-02,1,PM,3
T2207,Alpha failure programme 7,2046-10-16,Construction,Non-live (Others),1,2027-07-18,2027-04-18,1,C,3
T2208,Alpha failure programme 8,2046-11-02,Renewal,Non-live (Others),2,2027-07-18,2027-04-25,1,PC,3
T2209,Alpha failure programme 9,2046-11-19,Construction,Non-live (Consist),3,2027-07-18,2027-05-02,1,PM,3
T2210,Alpha failure programme 10,2046-12-06,Renewal,Non-live (Others),1,2027-07-18,2027-04-18,1,C,3
T2211,Alpha failure programme 11,2046-12-23,Construction,Non-live (Others),2,2027-07-18,2027-04-25,1,PC,3
T2212,Alpha failure programme 12,2047-01-09,Renewal,Non-live (Others),3,2027-07-18,2027-05-02,1,PM,3
T2213,Alpha failure programme 13,2047-01-26,Construction,Non-live (Consist),1,2027-07-18,2027-04-18,1,C,3
T2214,Alpha failure programme 14,2047-02-12,Renewal,Non-live (Others),2,2027-07-18,2027-04-25,1,PC,3
