activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA22001,T2201,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-01-11,,1
TA22002,T2201,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-11,,2
TA22003,T2201,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,3
TA22011,T2202,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-11,,2
TA22012,T2202,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,3
TA22013,T2202,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,1
TA22021,T2203,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,3
TA22022,T2203,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,1
TA22023,T2203,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,2
TA22031,T2204,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,1
TA22032,T2204,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,2
TA22033,T2204,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-01-11,,3
TA22041,T2205,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,2
TA22042,T2205,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-01-11,,3
TA22043,T2205,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-11,,1
TA22051,T2206,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,3,2027-01-11,,3
TA22052,T2206,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-11,,1
TA22053,T2206,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-01-11,,2
TA22061,T2207,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-11,,1
TA22062,T2207,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-01-11,,2
TA22063,T2207,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-11,,3
TA22071,T2208,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,3,2027-01-11,,2
TA22072,T2208,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-11,,3
TA22073,T2208,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-11,,1
TA22081,T2209,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,2,2027-01-11,,3
TA22082,T2209,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-11,,1
TA22083,T2209,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA22091,T2210,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,3,2027-01-11,,1
TA22092,T2210,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA22093,T2210,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,3
TA22101,T2211,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA22102,T2211,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,3
TA22103,T2211,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-01-11,,1
TA22111,T2212,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,3
TA22112,T2212,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-01-11,,1
TA22113,T2212,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,3,2027-01-11,,2
TA22121,T2213,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,2,2027-01-11,,1
TA22122,T2213,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,3,2027-01-11,,2
TA22123,T2213,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-11,,3
TA22131,T2214,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,3,2027-01-11,,2
TA22132,T2214,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-11,,3
TA22133,T2214,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-11,,1
