contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T2301,Eastbound failure programme 1,2047-06-11,Renewal,Live,1,2027-07-18,2027-04-18,1,PM,2
T2302,Eastbound failure programme 2,2047-06-28,Construction,Non-live (Others),2,2027-07-18,2027-04-18,1,PC,3
T2303,Eastbound failure programme 3,2047-07-15,Renewal,Non-live (Others),3,2027-07-18,2027-04-18,1,C,3
T2304,Eastbound failure programme 4,2047-08-01,Construction,Non-live (Others),1,2027-07-18,2027-04-18,1,PC,3
T2305,Eastbound failure programme 5,2047-08-18,Renewal,Non-live (Others),2,2027-07-18,2027-04-18,1,C,3
T2306,Eastbound failure programme 6,2047-09-04,Construction,Live,3,2027-07-18,2027-04-18,1,PM,2
T2307,Eastbound failure programme 7,2047-09-21,Renewal,Non-live (Others),1,2027-07-18,2027-04-18,1,C,3
T2308,Eastbound failure programme 8,2047-10-08,Construction,Non-live (Others),2,2027-07-18,2027-04-18,1,PC,3
T2309,Eastbound failure programme 9,2047-10-25,Renewal,Non-live (Others),3,2027-07-18,2027-04-18,1,C,3
T2310,Eastbound failure programme 10,2047-11-11,Construction,Non-live (Others),1,2027-07-18,2027-04-18,1,PC,3
T2311,Eastbound failure programme 11,2047-11-28,Renewal,Live,2,2027-07-18,2027-04-18,1,PM,2
T2312,Eastbound failure programme 12,2047-12-15,Construction,Non-live (Others),3,2027-07-18,2027-04-18,1,PC,3
T2313,Eastbound failure programme 13,2048-01-01,Renewal,Non-live (Others),1,2027-07-18,2027-04-18,1,C,3
T2314,Eastbound failure programme 14,2048-01-18,Construction,Non-live (Others),2,2027-07-18,2027-04-18,1,PC,3
