activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA23001,T2301,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-01-11,,1
TA23002,T2301,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-11,,2
TA23003,T2301,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,3
TA23011,T2302,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-01-18,,2
TA23012,T2302,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,3
TA23013,T2302,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-18,,1
TA23021,T2303,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-25,,3
TA23022,T2303,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,3,2027-01-25,,1
TA23023,T2303,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-25,,2
TA23031,T2304,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,3,2027-01-11,,1
TA23032,T2304,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-01-11,,2
TA23033,T2304,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,3,2027-01-11,,3
TA23041,T2305,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-18,,2
TA23042,T2305,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-18,,3
TA23043,T2305,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-18,,1
TA23051,T2306,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-01-25,,3
TA23052,T2306,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-25,,1
TA23053,T2306,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-25,,2
TA23061,T2307,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,1
TA23062,T2307,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-01-11,,2
TA23063,T2307,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,2,2027-01-11,,3
TA23071,T2308,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-18,,2
TA23072,T2308,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-01-18,,3
TA23073,T2308,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,3,2027-01-18,,1
TA23081,T2309,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-25,,3
TA23082,T2309,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,3,2027-01-25,,1
TA23083,T2309,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-25,,2
TA23091,T2310,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,3,2027-01-11,,1
TA23092,T2310,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA23093,T2310,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,3
TA23101,T2311,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-18,,2
TA23102,T2311,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-01-18,,3
TA23103,T2311,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-01-18,,1
TA23111,T2312,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-01-25,,3
TA23112,T2312,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,2,2027-01-25,,1
TA23113,T2312,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,3,2027-01-25,,2
TA23121,T2313,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-01-11,,1
TA23122,T2313,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-11,,2
TA23123,T2313,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,3
TA23131,T2314,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-01-18,,2
TA23132,T2314,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,3
TA23133,T2314,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-18,,1
