activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA24001,T2401,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA24002,T2401,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA24003,T2401,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,3
TA24011,T2402,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA24012,T2402,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,3
TA24013,T2402,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,1
TA24021,T2403,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA24022,T2403,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA24023,T2403,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,2
TA24031,T2404,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA24032,T2404,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,2
TA24033,T2404,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,3
TA24041,T2405,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA24042,T2405,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA24043,T2405,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,1
TA24051,T2406,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA24052,T2406,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,1
TA24053,T2406,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,2
TA24061,T2407,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA24062,T2407,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA24063,T2407,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,3
TA24071,T2408,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA24072,T2408,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,3
TA24073,T2408,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,1
TA24081,T2409,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
TA24082,T2409,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA24083,T2409,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,2
TA24091,T2410,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA24092,T2410,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,2
TA24093,T2410,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
TA24101,T2411,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA24102,T2411,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA24103,T2411,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,1
TA24111,T2412,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA24112,T2412,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
TA24113,T2412,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,2
