contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T2501,Hub tunnel bottleneck 1,2049-04-21,Renewal,Non-live (Others),1,2027-07-11,2027-04-04,1,PM,3
T2502,Hub tunnel bottleneck 2,2049-05-08,Construction,Non-live (Others),2,2027-07-11,2027-04-04,1,PC,3
T2503,Hub tunnel bottleneck 3,2049-05-25,Renewal,Non-live (Others),3,2027-07-11,2027-04-04,1,C,3
T2504,Hub tunnel bottleneck 4,2049-06-11,Construction,Non-live (Others),1,2027-07-11,2027-04-04,1,PM,3
T2505,Hub tunnel bottleneck 5,2049-06-28,Renewal,Non-live (Others),2,2027-07-11,2027-04-04,1,PC,3
T2506,Hub tunnel bottleneck 6,2049-07-15,Construction,Non-live (Others),3,2027-07-11,2027-04-04,1,C,3
T2507,Hub tunnel bottleneck 7,2049-08-01,Renewal,Non-live (Others),1,2027-07-11,2027-04-04,1,PM,3
T2508,Hub tunnel bottleneck 8,2049-08-18,Construction,Non-live (Others),2,2027-07-11,2027-04-04,1,PC,3
T2509,Hub tunnel bottleneck 9,2049-09-04,Renewal,Non-live (Others),3,2027-07-11,2027-04-04,1,C,3
T2510,Hub tunnel bottleneck 10,2049-09-21,Construction,Non-live (Others),1,2027-07-11,2027-04-04,1,PM,3
T2511,Hub tunnel bottleneck 11,2049-10-08,Renewal,Non-live (Others),2,2027-07-11,2027-04-04,1,PC,3
T2512,Hub tunnel bottleneck 12,2049-10-25,Construction,Non-live (Others),3,2027-07-11,2027-04-04,1,C,3
