activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA25001,T2501,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA25002,T2501,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,2
TA25003,T2501,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,3
TA25011,T2502,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA25012,T2502,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-04,,3
TA25013,T2502,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,1
TA25021,T2503,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA25022,T2503,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,1
TA25023,T2503,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,2
TA25031,T2504,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA25032,T2504,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-04,,2
TA25033,T2504,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,3
TA25041,T2505,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA25042,T2505,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA25043,T2505,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,1
TA25051,T2506,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA25052,T2506,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-04,,1
TA25053,T2506,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,2
TA25061,T2507,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA25062,T2507,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,2
TA25063,T2507,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,3
TA25071,T2508,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA25072,T2508,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-04,,3
TA25073,T2508,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,1
TA25081,T2509,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
TA25082,T2509,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,1
TA25083,T2509,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,2
TA25091,T2510,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA25092,T2510,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-04,,2
TA25093,T2510,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
TA25101,T2511,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA25102,T2511,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,3
TA25103,T2511,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,1
TA25111,T2512,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA25112,T2512,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-04,,1
TA25113,T2512,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,2
