activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA26001,T2601,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA26002,T2601,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA26011,T2602,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA26012,T2602,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA26021,T2603,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
TA26022,T2603,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA26031,T2604,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA26032,T2604,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA26041,T2605,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA26042,T2605,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA26051,T2606,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,3
TA26052,T2606,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA26061,T2607,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,1
TA26062,T2607,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA26071,T2608,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,2
TA26072,T2608,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA26081,T2609,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,3
TA26082,T2609,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA26091,T2610,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,1
TA26092,T2610,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA26101,T2611,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA26102,T2611,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA26111,T2612,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA26112,T2612,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA26121,T2613,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA26122,T2613,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA26131,T2614,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA26132,T2614,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA26141,T2615,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA26142,T2615,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA26151,T2616,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
TA26152,T2616,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA26161,T2617,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,2
TA26162,T2617,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA26171,T2618,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,3
TA26172,T2618,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA26181,T2619,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
TA26182,T2619,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA26191,T2620,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,2
TA26192,T2620,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
