contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T2701,PC host shortage programme 1,2051-03-02,Renewal,Non-live (Others),1,2027-06-27,2027-03-07,1,PC,3
T2702,PC host shortage programme 2,2051-03-19,Construction,Non-live (Others),2,2027-06-27,2027-03-07,1,PC,3
T2703,PC host shortage programme 3,2051-04-05,Renewal,Non-live (Others),3,2027-06-27,2027-03-07,1,PC,3
T2704,PC host shortage programme 4,2051-04-22,Construction,Non-live (Others),1,2027-06-27,2027-03-07,1,PC,3
T2705,PC host shortage programme 5,2051-05-09,Renewal,Non-live (Others),2,2027-06-27,2027-03-07,1,PC,3
T2706,PC host shortage programme 6,2051-05-26,Construction,Non-live (Others),3,2027-06-27,2027-03-07,1,PC,3
T2707,PC host shortage programme 7,2051-06-12,Renewal,Non-live (Others),1,2027-06-27,2027-03-07,1,PC,3
T2708,PC host shortage programme 8,2051-06-29,Construction,Non-live (Others),2,2027-06-27,2027-03-07,1,PC,3
T2709,PC host shortage programme 9,2051-07-16,Renewal,Non-live (Others),3,2027-06-27,2027-03-07,1,PC,3
T2710,PC host shortage programme 10,2051-08-02,Construction,Non-live (Others),1,2027-06-27,2027-03-07,1,PC,3
T2711,PC host shortage programme 11,2051-08-19,Renewal,Non-live (Others),2,2027-06-27,2027-03-07,1,PC,3
T2712,PC host shortage programme 12,2051-09-05,Construction,Non-live (Others),3,2027-06-27,2027-03-07,1,PC,3
T2713,PC host shortage programme 13,2051-09-22,Renewal,Non-live (Others),1,2027-06-27,2027-03-07,1,C,3
T2714,PC host shortage programme 14,2051-10-09,Construction,Non-live (Others),2,2027-06-27,2027-03-07,1,C,3
T2715,PC host shortage programme 15,2051-10-26,Renewal,Non-live (Others),3,2027-06-27,2027-03-07,1,C,3
T2716,PC host shortage programme 16,2051-11-12,Construction,Non-live (Others),1,2027-06-27,2027-03-07,1,C,3
