activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA27001,T2701,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA27002,T2701,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA27011,T2702,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA27012,T2702,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
TA27021,T2703,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA27022,T2703,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA27031,T2704,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA27032,T2704,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA27041,T2705,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA27042,T2705,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA27051,T2706,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA27052,T2706,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA27061,T2707,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA27062,T2707,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA27071,T2708,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA27072,T2708,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA27081,T2709,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
TA27082,T2709,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA27091,T2710,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA27092,T2710,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA27101,T2711,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA27102,T2711,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA27111,T2712,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA27112,T2712,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA27121,T2713,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA27122,T2713,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA27131,T2714,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA27132,T2714,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
TA27141,T2715,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA27142,T2715,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA27151,T2716,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA27152,T2716,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
