contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T2801,PM monopoly programme 1,2052-02-05,Construction,Non-live (Consist),1,2027-07-04,2027-03-14,1,PM,3
T2802,PM monopoly programme 2,2052-02-22,Renewal,Non-live (Others),2,2027-07-04,2027-03-14,1,PM,3
T2803,PM monopoly programme 3,2052-03-10,Construction,Non-live (Others),3,2027-07-04,2027-03-14,1,PM,3
T2804,PM monopoly programme 4,2052-03-27,Renewal,Non-live (Others),1,2027-07-04,2027-03-14,1,PM,3
T2805,PM monopoly programme 5,2052-04-13,Construction,Non-live (Consist),2,2027-07-04,2027-03-14,1,PM,3
T2806,PM monopoly programme 6,2052-04-30,Renewal,Non-live (Others),3,2027-07-04,2027-03-14,1,PM,3
T2807,PM monopoly programme 7,2052-05-17,Construction,Non-live (Others),1,2027-07-04,2027-03-14,1,PM,3
T2808,PM monopoly programme 8,2052-06-03,Renewal,Non-live (Others),2,2027-07-04,2027-03-14,1,PM,3
T2809,PM monopoly programme 9,2052-06-20,Construction,Non-live (Consist),3,2027-07-04,2027-03-14,1,PM,3
T2810,PM monopoly programme 10,2052-07-07,Renewal,Non-live (Others),1,2027-07-04,2027-03-14,1,PM,3
T2811,PM monopoly programme 11,2052-07-24,Construction,Non-live (Others),2,2027-07-04,2027-03-14,1,PM,3
T2812,PM monopoly programme 12,2052-08-10,Renewal,Non-live (Others),3,2027-07-04,2027-03-14,1,PM,3
T2813,PM monopoly programme 13,2052-08-27,Construction,Non-live (Consist),1,2027-07-04,2027-03-14,1,PM,3
T2814,PM monopoly programme 14,2052-09-13,Renewal,Non-live (Others),2,2027-07-04,2027-03-14,1,PM,3
