activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA28001,T2801,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA28002,T2801,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,2
TA28011,T2802,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA28012,T2802,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
TA28021,T2803,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA28022,T2803,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,1
TA28031,T2804,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA28032,T2804,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,2
TA28041,T2805,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA28042,T2805,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA28051,T2806,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA28052,T2806,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,1
TA28061,T2807,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA28062,T2807,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,2
TA28071,T2808,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA28072,T2808,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,3
TA28081,T2809,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA28082,T2809,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,1
TA28091,T2810,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA28092,T2810,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,2
TA28101,T2811,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA28102,T2811,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,3
TA28111,T2812,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA28112,T2812,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,1
TA28121,T2813,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA28122,T2813,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,2
TA28131,T2814,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA28132,T2814,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
