activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA29001,T2901,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA29002,T2901,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-01-04,,2
TA29003,T2901,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-01-04,,3
TA29004,T2901,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-01-04,,1
TA29005,T2901,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-01-04,,2
TA29006,T2901,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,3
TA29007,T2901,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-01-04,,1
TA29008,T2901,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,2,2027-01-04,,2
TA29009,T2901,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-01-04,,3
TA29010,T2901,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,2,2027-01-04,,1
TA29011,T2902,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,1,2027-01-04,,1
TA29012,T2902,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,2,2027-01-04,,2
TA29013,T2902,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-01-04,,3
TA29014,T2902,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA29015,T2902,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-01-04,,2
TA29016,T2902,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,2,2027-01-04,,3
TA29017,T2902,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,1,2027-01-04,,1
TA29018,T2902,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-04,,2
TA29019,T2902,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,3
TA29020,T2902,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,1
TA29021,T2903,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-01-04,,1
TA29022,T2903,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,,2
TA29023,T2903,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-01-04,,3
TA29024,T2903,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,2,2027-01-04,,1
TA29025,T2903,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-01-04,,2
TA29026,T2903,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,2,2027-01-04,,3
TA29027,T2903,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,1,2027-01-04,,1
TA29028,T2903,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,2,2027-01-04,,2
TA29029,T2903,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,1,2027-01-04,,3
TA29030,T2903,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,2,2027-01-04,,1
TA29031,T2904,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,1,2027-01-04,,1
TA29032,T2904,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,2
TA29033,T2904,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,1,2027-01-04,,3
TA29034,T2904,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,2,2027-01-04,,1
TA29035,T2904,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,1,2027-01-04,,2
TA29036,T2904,Construction,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,2,2027-01-04,,3
TA29037,T2904,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA29038,T2904,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-01-04,,2
TA29039,T2904,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-01-04,,3
TA29040,T2904,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-01-04,,1
TA29041,T2905,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-01-04,,1
TA29042,T2905,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,2
TA29043,T2905,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-01-04,,3
TA29044,T2905,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,2,2027-01-04,,1
TA29045,T2905,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-01-04,,2
TA29046,T2905,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,2,2027-01-04,,3
TA29047,T2905,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,1,2027-01-04,,1
TA29048,T2905,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,2,2027-01-04,,2
TA29049,T2905,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-01-04,,3
TA29050,T2905,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA29051,T2906,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,1,2027-01-04,,1
TA29052,T2906,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,2,2027-01-04,,2
TA29053,T2906,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,1,2027-01-04,,3
TA29054,T2906,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-04,,1
TA29055,T2906,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
TA29056,T2906,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,3
TA29057,T2906,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-01-04,,1
TA29058,T2906,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,,2
TA29059,T2906,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-01-04,,3
TA29060,T2906,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,2,2027-01-04,,1
