activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA30001,T3001,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,1,2027-01-04,,1
TA30002,T3001,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-11,,2
TA30003,T3001,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-01-18,,3
TA30004,T3001,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-01-25,,1
TA30005,T3001,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA30006,T3001,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,3,2027-01-11,,3
TA30007,T3001,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-01-18,,1
TA30008,T3001,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-25,,2
TA30009,T3001,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,3,2027-01-04,,3
TA30010,T3001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-01-11,,1
TA30011,T3001,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-01-18,,2
TA30012,T3001,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,3,2027-01-25,,3
TA30013,T3001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-01-04,,1
TA30014,T3001,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA30015,T3001,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,3,2027-01-18,,3
TA30016,T3001,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-01-25,,1
TA30017,T3001,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,2,2027-01-04,,2
TA30018,T3001,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,3,2027-01-11,,3
TA30019,T3001,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,1,2027-01-18,,1
TA30020,T3001,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-01-25,,2
TA30021,T3001,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-01-04,,3
TA30022,T3001,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-01-11,,1
TA30023,T3001,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-18,,2
TA30024,T3001,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-01-25,,3
TA30025,T3001,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,1,2027-01-04,,1
TA30026,T3001,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-11,,2
TA30027,T3001,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,3,2027-01-18,,3
TA30028,T3001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-01-25,,1
TA30029,T3001,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
TA30030,T3001,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,3,2027-01-11,,3
