contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T3101,Tiny contract 1,2054-11-21,Construction,Live,1,2027-06-27,2027-03-14,1,PM,2
T3102,Tiny contract 2,2054-12-08,Renewal,Non-live (Others),2,2027-07-04,2027-03-21,1,PC,3
T3103,Tiny contract 3,2054-12-25,Construction,Non-live (Others),3,2027-07-11,2027-03-28,1,PM,3
T3104,Tiny contract 4,2055-01-11,Renewal,Non-live (Others),1,2027-07-18,2027-04-04,1,C,3
T3105,Tiny contract 5,2055-01-28,Construction,Non-live (Others),2,2027-07-25,2027-04-11,1,PC,3
T3106,Tiny contract 6,2055-02-14,Renewal,Non-live (Others),3,2027-06-27,2027-03-14,1,PM,3
T3107,Tiny contract 7,2055-03-03,Construction,Non-live (Others),1,2027-07-04,2027-03-21,1,C,3
T3108,Tiny contract 8,2055-03-20,Renewal,Non-live (Others),2,2027-07-11,2027-03-28,1,PC,3
T3109,Tiny contract 9,2055-04-06,Construction,Non-live (Others),3,2027-07-18,2027-04-04,1,PM,3
T3110,Tiny contract 10,2055-04-23,Renewal,Non-live (Others),1,2027-07-25,2027-04-11,1,C,3
T3111,Tiny contract 11,2055-05-10,Construction,Live,2,2027-06-27,2027-03-14,1,PM,2
T3112,Tiny contract 12,2055-05-27,Renewal,Non-live (Others),3,2027-07-04,2027-03-21,1,PM,3
T3113,Tiny contract 13,2055-06-13,Construction,Non-live (Others),1,2027-07-11,2027-03-28,1,C,3
T3114,Tiny contract 14,2055-06-30,Renewal,Non-live (Others),2,2027-07-18,2027-04-04,1,PC,3
T3115,Tiny contract 15,2055-07-17,Construction,Non-live (Others),3,2027-07-25,2027-04-11,1,PM,3
T3116,Tiny contract 16,2055-08-03,Renewal,Non-live (Others),1,2027-06-27,2027-03-14,1,C,3
T3117,Tiny contract 17,2055-08-20,Construction,Non-live (Others),2,2027-07-04,2027-03-21,1,PC,3
T3118,Tiny contract 18,2055-09-06,Renewal,Non-live (Others),3,2027-07-11,2027-03-28,1,PM,3
T3119,Tiny contract 19,2055-09-23,Construction,Non-live (Others),1,2027-07-18,2027-04-04,1,C,3
T3120,Tiny contract 20,2055-10-10,Renewal,Non-live (Others),2,2027-07-25,2027-04-11,1,PC,3
T3121,Tiny contract 21,2055-10-27,Construction,Live,3,2027-06-27,2027-03-14,1,PM,2
T3122,Tiny contract 22,2055-11-13,Renewal,Non-live (Others),1,2027-07-04,2027-03-21,1,C,3
T3123,Tiny contract 23,2055-11-30,Construction,Non-live (Others),2,2027-07-11,2027-03-28,1,PC,3
T3124,Tiny contract 24,2055-12-17,Renewal,Non-live (Others),3,2027-07-18,2027-04-04,1,PM,3
T3125,Tiny contract 25,2056-01-03,Construction,Non-live (Others),1,2027-07-25,2027-04-11,1,C,3
T3126,Tiny contract 26,2056-01-20,Renewal,Non-live (Others),2,2027-06-27,2027-03-14,1,PC,3
T3127,Tiny contract 27,2056-02-06,Construction,Non-live (Others),3,2027-07-04,2027-03-21,1,PM,3
T3128,Tiny contract 28,2056-02-23,Renewal,Non-live (Others),1,2027-07-11,2027-03-28,1,C,3
T3129,Tiny contract 29,2056-03-11,Construction,Non-live (Others),2,2027-07-18,2027-04-04,1,PC,3
T3130,Tiny contract 30,2056-03-28,Renewal,Non-live (Others),3,2027-07-25,2027-04-11,1,PM,3
T3131,Tiny contract 31,2056-04-14,Construction,Live,1,2027-06-27,2027-03-14,1,PM,2
T3132,Tiny contract 32,2056-05-01,Renewal,Non-live (Others),2,2027-07-04,2027-03-21,1,PC,3
T3133,Tiny contract 33,2056-05-18,Construction,Non-live (Others),3,2027-07-11,2027-03-28,1,PM,3
T3134,Tiny contract 34,2056-06-04,Renewal,Non-live (Others),1,2027-07-18,2027-04-04,1,C,3
T3135,Tiny contract 35,2056-06-21,Construction,Non-live (Others),2,2027-07-25,2027-04-11,1,PC,3
T3136,Tiny contract 36,2056-07-08,Renewal,Non-live (Others),3,2027-06-27,2027-03-14,1,PM,3
T3137,Tiny contract 37,2056-07-25,Construction,Non-live (Others),1,2027-07-04,2027-03-21,1,C,3
T3138,Tiny contract 38,2056-08-11,Renewal,Non-live (Others),2,2027-07-11,2027-03-28,1,PC,3
T3139,Tiny contract 39,2056-08-28,Construction,Non-live (Others),3,2027-07-18,2027-04-04,1,PM,3
T3140,Tiny contract 40,2056-09-14,Renewal,Non-live (Others),1,2027-07-25,2027-04-11,1,C,3
