activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA31001,T3101,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA31011,T3102,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,2
TA31021,T3103,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-01-18,,3
TA31031,T3104,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,4,2027-01-25,,1
TA31041,T3105,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-02-01,,2
TA31051,T3106,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,2,2027-02-08,,3
TA31061,T3107,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,3,2027-01-04,,1
TA31071,T3108,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,4,2027-01-11,,2
TA31081,T3109,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-01-18,,3
TA31091,T3110,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-01-25,,1
TA31101,T3111,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-02-01,,2
TA31111,T3112,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,4,2027-02-08,,3
TA31121,T3113,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA31131,T3114,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,2
TA31141,T3115,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-01-18,,3
TA31151,T3116,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,4,2027-01-25,,1
TA31161,T3117,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-02-01,,2
TA31171,T3118,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,2,2027-02-08,,3
TA31181,T3119,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,3,2027-01-04,,1
TA31191,T3120,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,4,2027-01-11,,2
TA31201,T3121,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-01-18,,3
TA31211,T3122,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-01-25,,1
TA31221,T3123,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-02-01,,2
TA31231,T3124,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,4,2027-02-08,,3
TA31241,T3125,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA31251,T3126,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,2
TA31261,T3127,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-01-18,,3
TA31271,T3128,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,4,2027-01-25,,1
TA31281,T3129,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-02-01,,2
TA31291,T3130,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,2,2027-02-08,,3
TA31301,T3131,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,3,2027-01-04,,1
TA31311,T3132,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,4,2027-01-11,,2
TA31321,T3133,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-01-18,,3
TA31331,T3134,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-01-25,,1
TA31341,T3135,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-02-01,,2
TA31351,T3136,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,4,2027-02-08,,3
TA31361,T3137,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA31371,T3138,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,2
TA31381,T3139,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-01-18,,3
TA31391,T3140,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,4,2027-01-25,,1
