contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T3201,Long route programme 1,2055-10-27,Renewal,Non-live (Others),1,2027-07-25,2027-05-02,1,PC,3
T3202,Long route programme 2,2055-11-13,Construction,Non-live (Consist),2,2027-07-25,2027-05-02,1,PM,3
T3203,Long route programme 3,2055-11-30,Renewal,Non-live (Others),3,2027-07-25,2027-05-02,1,PM,3
T3204,Long route programme 4,2055-12-17,Construction,Non-live (Consist),1,2027-07-25,2027-05-02,1,PC,3
T3205,Long route programme 5,2056-01-03,Renewal,Non-live (Others),2,2027-07-25,2027-05-02,1,PM,3
T3206,Long route programme 6,2056-01-20,Construction,Non-live (Consist),3,2027-07-25,2027-05-02,1,PM,3
T3207,Long route programme 7,2056-02-06,Renewal,Non-live (Others),1,2027-07-25,2027-05-02,1,PC,3
T3208,Long route programme 8,2056-02-23,Construction,Non-live (Consist),2,2027-07-25,2027-05-02,1,PM,3
T3209,Long route programme 9,2056-03-11,Renewal,Non-live (Others),3,2027-07-25,2027-05-02,1,PM,3
T3210,Long route programme 10,2056-03-28,Construction,Non-live (Consist),1,2027-07-25,2027-05-02,1,PC,3
