activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA32001,T3201,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S07_S08:EB,2,2027-01-04,,1
TA32002,T3201,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S16_S17:EB,3,2027-01-04,,2
TA32003,T3201,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S05_S06:EB,2,2027-01-04,,3
TA32011,T3202,Construction,SEC:BET:S11_S12:EB,SEC:BET:S17_S18:EB,3,2027-01-11,,2
TA32012,T3202,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S06_S07:EB,2,2027-01-11,,3
TA32013,T3202,Construction,SEC:BET:S13_S14:EB,SEC:BET:S15_S16:EB,3,2027-01-11,,1
TA32021,T3203,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S07_S08:WB,2,2027-01-18,,3
TA32022,T3203,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S16_S17:WB,3,2027-01-18,,1
TA32023,T3203,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S05_S06:WB,2,2027-01-18,,2
TA32031,T3204,Construction,SEC:BET:S11_S12:WB,SEC:BET:S17_S18:WB,3,2027-01-04,,1
TA32032,T3204,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S06_S07:WB,2,2027-01-04,,2
TA32033,T3204,Construction,SEC:BET:S13_S14:WB,SEC:BET:S15_S16:WB,3,2027-01-04,,3
TA32041,T3205,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S07_S08:EB,2,2027-01-11,,2
TA32042,T3205,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S16_S17:EB,3,2027-01-11,,3
TA32043,T3205,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S05_S06:EB,2,2027-01-11,,1
TA32051,T3206,Construction,SEC:BET:S11_S12:EB,SEC:BET:S17_S18:EB,3,2027-01-18,,3
TA32052,T3206,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S06_S07:EB,2,2027-01-18,,1
TA32053,T3206,Construction,SEC:BET:S13_S14:EB,SEC:BET:S15_S16:EB,3,2027-01-18,,2
TA32061,T3207,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S07_S08:WB,2,2027-01-04,,1
TA32062,T3207,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S16_S17:WB,3,2027-01-04,,2
TA32063,T3207,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S05_S06:WB,2,2027-01-04,,3
TA32071,T3208,Construction,SEC:BET:S11_S12:WB,SEC:BET:S17_S18:WB,3,2027-01-11,,2
TA32072,T3208,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S06_S07:WB,2,2027-01-11,,3
TA32073,T3208,Construction,SEC:BET:S13_S14:WB,SEC:BET:S15_S16:WB,3,2027-01-11,,1
TA32081,T3209,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S07_S08:EB,2,2027-01-18,,3
TA32082,T3209,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S16_S17:EB,3,2027-01-18,,1
TA32083,T3209,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S05_S06:EB,2,2027-01-18,,2
TA32091,T3210,Construction,SEC:BET:S11_S12:EB,SEC:BET:S17_S18:EB,3,2027-01-04,,1
TA32092,T3210,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S06_S07:EB,2,2027-01-04,,2
TA32093,T3210,Construction,SEC:BET:S13_S14:EB,SEC:BET:S15_S16:EB,3,2027-01-04,,3
