contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T3301,Point job programme 1,2056-10-01,Construction,Non-live (Others),1,2027-06-27,2027-03-14,1,PC,3
T3302,Point job programme 2,2056-10-18,Renewal,Non-live (Others),2,2027-06-27,2027-03-21,2,C,3
T3303,Point job programme 3,2056-11-04,Construction,Non-live (Others),3,2027-06-27,2027-03-28,1,C,3
T3304,Point job programme 4,2056-11-21,Renewal,Non-live (Others),1,2027-06-27,2027-03-14,2,C,3
T3305,Point job programme 5,2056-12-08,Construction,Non-live (Others),2,2027-06-27,2027-03-21,1,C,3
T3306,Point job programme 6,2056-12-25,Renewal,Non-live (Others),3,2027-06-27,2027-03-28,2,PC,3
T3307,Point job programme 7,2057-01-11,Construction,Non-live (Others),1,2027-06-27,2027-03-14,1,C,3
T3308,Point job programme 8,2057-01-28,Renewal,Non-live (Others),2,2027-06-27,2027-03-21,2,C,3
T3309,Point job programme 9,2057-02-14,Construction,Non-live (Others),3,2027-06-27,2027-03-28,1,C,3
T3310,Point job programme 10,2057-03-03,Renewal,Non-live (Others),1,2027-06-27,2027-03-14,2,C,3
T3311,Point job programme 11,2057-03-20,Construction,Non-live (Others),2,2027-06-27,2027-03-21,1,PC,3
T3312,Point job programme 12,2057-04-06,Renewal,Non-live (Others),3,2027-06-27,2027-03-28,2,C,3
T3313,Point job programme 13,2057-04-23,Construction,Non-live (Others),1,2027-06-27,2027-03-14,1,C,3
T3314,Point job programme 14,2057-05-10,Renewal,Non-live (Others),2,2027-06-27,2027-03-21,2,C,3
T3315,Point job programme 15,2057-05-27,Construction,Non-live (Others),3,2027-06-27,2027-03-28,1,C,3
T3316,Point job programme 16,2057-06-13,Renewal,Non-live (Others),1,2027-06-27,2027-03-14,2,PC,3
T3317,Point job programme 17,2057-06-30,Construction,Non-live (Others),2,2027-06-27,2027-03-21,1,C,3
T3318,Point job programme 18,2057-07-17,Renewal,Non-live (Others),3,2027-06-27,2027-03-28,2,C,3
T3319,Point job programme 19,2057-08-03,Construction,Non-live (Others),1,2027-06-27,2027-03-14,1,C,3
T3320,Point job programme 20,2057-08-20,Renewal,Non-live (Others),2,2027-06-27,2027-03-21,2,C,3
T3321,Point job programme 21,2057-09-06,Construction,Non-live (Others),3,2027-06-27,2027-03-28,1,PC,3
T3322,Point job programme 22,2057-09-23,Renewal,Non-live (Others),1,2027-06-27,2027-03-14,2,C,3
T3323,Point job programme 23,2057-10-10,Construction,Non-live (Others),2,2027-06-27,2027-03-21,1,C,3
T3324,Point job programme 24,2057-10-27,Renewal,Non-live (Others),3,2027-06-27,2027-03-28,2,C,3
T3325,Point job programme 25,2057-11-13,Construction,Non-live (Others),1,2027-06-27,2027-03-14,1,C,3
T3326,Point job programme 26,2057-11-30,Renewal,Non-live (Others),2,2027-06-27,2027-03-21,2,PC,3
T3327,Point job programme 27,2057-12-17,Construction,Non-live (Others),3,2027-06-27,2027-03-28,1,C,3
T3328,Point job programme 28,2058-01-03,Renewal,Non-live (Others),1,2027-06-27,2027-03-14,2,C,3
T3329,Point job programme 29,2058-01-20,Construction,Non-live (Others),2,2027-06-27,2027-03-21,1,C,3
T3330,Point job programme 30,2058-02-06,Renewal,Non-live (Others),3,2027-06-27,2027-03-28,2,C,3
