activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA33001,T3301,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
TA33002,T3301,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-01-04,,2
TA33011,T3302,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-01-11,,2
TA33012,T3302,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-01-11,,3
TA33021,T3303,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,3,2027-01-18,,3
TA33022,T3303,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,1,2027-01-18,,1
TA33031,T3304,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,1,2027-01-25,,1
TA33032,T3304,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-25,,2
TA33041,T3305,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA33042,T3305,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
TA33051,T3306,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-01-11,,3
TA33052,T3306,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-01-11,,1
TA33061,T3307,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,1,2027-01-18,,1
TA33062,T3307,Construction,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,2,2027-01-18,,2
TA33071,T3308,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,2,2027-01-25,,2
TA33072,T3308,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,3,2027-01-25,,3
TA33081,T3309,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2027-01-04,,3
TA33082,T3309,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,1
TA33091,T3310,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-11,,1
TA33092,T3310,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-11,,2
TA33101,T3311,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-01-18,,2
TA33102,T3311,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,3,2027-01-18,,3
TA33111,T3312,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,3,2027-01-25,,3
TA33112,T3312,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,1,2027-01-25,,1
TA33121,T3313,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-01-04,,1
TA33122,T3313,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,2
TA33131,T3314,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-11,,2
TA33132,T3314,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,3
TA33141,T3315,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-01-18,,3
TA33142,T3315,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,1,2027-01-18,,1
