contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T3401,Staggered wave programme 1,2057-09-06,Renewal,Non-live (Consist),1,2027-07-18,2027-03-14,1,C,3
T3402,Staggered wave programme 2,2057-09-23,Construction,Non-live (Others),2,2027-07-18,2027-04-04,1,PC,3
T3403,Staggered wave programme 3,2057-10-10,Renewal,Non-live (Others),3,2027-07-18,2027-04-25,1,PM,3
T3404,Staggered wave programme 4,2057-10-27,Construction,Non-live (Others),1,2027-07-18,2027-05-16,1,C,3
T3405,Staggered wave programme 5,2057-11-13,Renewal,Non-live (Consist),2,2027-07-18,2027-06-06,1,PC,3
T3406,Staggered wave programme 6,2057-11-30,Construction,Non-live (Others),3,2027-07-18,2027-03-14,1,PM,3
T3407,Staggered wave programme 7,2057-12-17,Renewal,Non-live (Others),1,2027-07-18,2027-04-04,1,C,3
T3408,Staggered wave programme 8,2058-01-03,Construction,Non-live (Others),2,2027-07-18,2027-04-25,1,PC,3
T3409,Staggered wave programme 9,2058-01-20,Renewal,Non-live (Consist),3,2027-07-18,2027-05-16,1,PM,3
T3410,Staggered wave programme 10,2058-02-06,Construction,Non-live (Others),1,2027-07-18,2027-06-06,1,C,3
T3411,Staggered wave programme 11,2058-02-23,Renewal,Non-live (Others),2,2027-07-18,2027-03-14,1,PC,3
T3412,Staggered wave programme 12,2058-03-12,Construction,Non-live (Others),3,2027-07-18,2027-04-04,1,PM,3
T3413,Staggered wave programme 13,2058-03-29,Renewal,Non-live (Consist),1,2027-07-18,2027-04-25,1,C,3
T3414,Staggered wave programme 14,2058-04-15,Construction,Non-live (Others),2,2027-07-18,2027-05-16,1,PC,3
T3415,Staggered wave programme 15,2058-05-02,Renewal,Non-live (Others),3,2027-07-18,2027-06-06,1,PM,3
