activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA34001,T3401,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,1
TA34002,T3401,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-04,,2
TA34003,T3401,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,,3
TA34011,T3402,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-01-25,,2
TA34012,T3402,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-25,,3
TA34013,T3402,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-25,,1
TA34021,T3403,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-02-15,,3
TA34022,T3403,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-02-15,,1
TA34023,T3403,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-02-15,,2
TA34031,T3404,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-03-08,,1
TA34032,T3404,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-03-08,,2
TA34033,T3404,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-03-08,,3
TA34041,T3405,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-03-29,,2
TA34042,T3405,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-03-29,,3
TA34043,T3405,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-03-29,,1
TA34051,T3406,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-01-04,,3
TA34052,T3406,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-01-04,,1
TA34053,T3406,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-01-04,,2
TA34061,T3407,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-01-25,,1
TA34062,T3407,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-01-25,,2
TA34063,T3407,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-25,,3
TA34071,T3408,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-02-15,,2
TA34072,T3408,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-02-15,,3
TA34073,T3408,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-02-15,,1
TA34081,T3409,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-03-08,,3
TA34082,T3409,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-03-08,,1
TA34083,T3409,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-03-08,,2
TA34091,T3410,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-03-29,,1
TA34092,T3410,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-03-29,,2
TA34093,T3410,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-03-29,,3
TA34101,T3411,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,,2
TA34102,T3411,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA34103,T3411,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,1
TA34111,T3412,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-01-25,,3
TA34112,T3412,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-25,,1
TA34113,T3412,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-01-25,,2
TA34121,T3413,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-02-15,,1
TA34122,T3413,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-02-15,,2
TA34123,T3413,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-02-15,,3
TA34131,T3414,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-03-08,,2
TA34132,T3414,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-03-08,,3
TA34133,T3414,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-03-08,,1
TA34141,T3415,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,2,2027-03-29,,3
TA34142,T3415,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-03-29,,1
TA34143,T3415,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-03-29,,2
