contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T3501,Simultaneous burst programme 1,2058-08-12,Construction,Non-live (Consist),1,2027-07-11,2027-04-11,1,PM,3
T3502,Simultaneous burst programme 2,2058-08-29,Renewal,Non-live (Others),2,2027-07-11,2027-04-11,1,PC,3
T3503,Simultaneous burst programme 3,2058-09-15,Construction,Non-live (Others),3,2027-07-11,2027-04-11,1,C,3
T3504,Simultaneous burst programme 4,2058-10-02,Renewal,Non-live (Others),1,2027-07-11,2027-04-11,1,PM,3
T3505,Simultaneous burst programme 5,2058-10-19,Construction,Non-live (Others),2,2027-07-11,2027-04-11,1,PC,3
T3506,Simultaneous burst programme 6,2058-11-05,Renewal,Non-live (Consist),3,2027-07-11,2027-04-11,1,C,3
T3507,Simultaneous burst programme 7,2058-11-22,Construction,Non-live (Others),1,2027-07-11,2027-04-11,1,PM,3
T3508,Simultaneous burst programme 8,2058-12-09,Renewal,Non-live (Others),2,2027-07-11,2027-04-11,1,PC,3
T3509,Simultaneous burst programme 9,2058-12-26,Construction,Non-live (Others),3,2027-07-11,2027-04-11,1,C,3
T3510,Simultaneous burst programme 10,2059-01-12,Renewal,Non-live (Others),1,2027-07-11,2027-04-11,1,PM,3
T3511,Simultaneous burst programme 11,2059-01-29,Construction,Non-live (Consist),2,2027-07-11,2027-04-11,1,PC,3
T3512,Simultaneous burst programme 12,2059-02-15,Renewal,Non-live (Others),3,2027-07-11,2027-04-11,1,C,3
T3513,Simultaneous burst programme 13,2059-03-04,Construction,Non-live (Others),1,2027-07-11,2027-04-11,1,PM,3
T3514,Simultaneous burst programme 14,2059-03-21,Renewal,Non-live (Others),2,2027-07-11,2027-04-11,1,PC,3
T3515,Simultaneous burst programme 15,2059-04-07,Construction,Non-live (Others),3,2027-07-11,2027-04-11,1,C,3
T3516,Simultaneous burst programme 16,2059-04-24,Renewal,Non-live (Consist),1,2027-07-11,2027-04-11,1,PM,3
T3517,Simultaneous burst programme 17,2059-05-11,Construction,Non-live (Others),2,2027-07-11,2027-04-11,1,PC,3
T3518,Simultaneous burst programme 18,2059-05-28,Renewal,Non-live (Others),3,2027-07-11,2027-04-11,1,C,3
T3519,Simultaneous burst programme 19,2059-06-14,Construction,Non-live (Others),1,2027-07-11,2027-04-11,1,PM,3
T3520,Simultaneous burst programme 20,2059-07-01,Renewal,Non-live (Others),2,2027-07-11,2027-04-11,1,PC,3
