activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA35001,T3501,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-03-08,,1
TA35002,T3501,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-03-08,,2
TA35011,T3502,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-03-08,,2
TA35012,T3502,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-03-08,,3
TA35021,T3503,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-03-08,,3
TA35022,T3503,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-03-08,,1
TA35031,T3504,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-03-08,,1
TA35032,T3504,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-03-08,,2
TA35041,T3505,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-03-08,,2
TA35042,T3505,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-03-08,,3
TA35051,T3506,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-03-08,,3
TA35052,T3506,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-03-08,,1
TA35061,T3507,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-03-08,,1
TA35062,T3507,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-03-08,,2
TA35071,T3508,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-03-08,,2
TA35072,T3508,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-03-08,,3
TA35081,T3509,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-03-08,,3
TA35082,T3509,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-03-08,,1
TA35091,T3510,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-03-08,,1
TA35092,T3510,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-03-08,,2
TA35101,T3511,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-03-08,,2
TA35102,T3511,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-03-08,,3
TA35111,T3512,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-03-08,,3
TA35112,T3512,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-03-08,,1
TA35121,T3513,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-03-08,,1
TA35122,T3513,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-03-08,,2
TA35131,T3514,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-03-08,,2
TA35132,T3514,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-03-08,,3
TA35141,T3515,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-03-08,,3
TA35142,T3515,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-03-08,,1
TA35151,T3516,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-03-08,,1
TA35152,T3516,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-03-08,,2
TA35161,T3517,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-03-08,,2
TA35162,T3517,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-03-08,,3
TA35171,T3518,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-03-08,,3
TA35172,T3518,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-03-08,,1
TA35181,T3519,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,2,2027-03-08,,1
TA35182,T3519,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-03-08,,2
TA35191,T3520,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-03-08,,2
TA35192,T3520,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-03-08,,3
