activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA36001,T3601,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA36002,T3601,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,2
TA36011,T3602,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,2
TA36012,T3602,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA36021,T3603,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA36022,T3603,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,1
TA36031,T3604,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
TA36032,T3604,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,2
TA36041,T3605,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
TA36042,T3605,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
TA36051,T3606,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,3
TA36052,T3606,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,1
TA36061,T3607,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,1
TA36062,T3607,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,2
TA36071,T3608,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,2
TA36072,T3608,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,3
TA36081,T3609,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
TA36082,T3609,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,1
TA36091,T3610,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,1
TA36092,T3610,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,2
TA36101,T3611,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,2
TA36102,T3611,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,3
TA36111,T3612,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,3
TA36112,T3612,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,,1
TA36121,T3613,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA36122,T3613,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,2
TA36131,T3614,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,2
TA36132,T3614,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-04,,3
TA36141,T3615,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA36142,T3615,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-01-04,,1
