activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA37001,T3701,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-11,,1
TA37002,T3701,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-01-11,,2
TA37011,T3702,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2027-01-11,,2
TA37012,T3702,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,3
TA37021,T3703,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-11,,3
TA37022,T3703,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,1
TA37031,T3704,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA37032,T3704,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,2
TA37041,T3705,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,2,2027-01-11,,2
TA37042,T3705,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-01-11,,3
TA37051,T3706,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,3,2027-01-11,,3
TA37052,T3706,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-01-11,,1
TA37061,T3707,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-01-11,,1
TA37062,T3707,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,3,2027-01-11,,2
TA37071,T3708,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,3,2027-01-11,,2
TA37072,T3708,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-01-11,,3
TA37081,T3709,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,2,2027-01-11,,3
TA37082,T3709,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,1
TA37091,T3710,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA37092,T3710,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,2
TA37101,T3711,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,2,2027-01-11,,2
TA37102,T3711,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-01-11,,3
TA37111,T3712,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,3,2027-01-11,,3
TA37112,T3712,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-11,,1
TA37121,T3713,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-11,,1
TA37122,T3713,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-01-11,,2
TA37131,T3714,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2027-01-11,,2
TA37132,T3714,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,3
TA37141,T3715,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-11,,3
TA37142,T3715,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-11,,1
