activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA38001,T3801,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,4,2027-01-25,,1
TA38002,T3801,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,5,2027-01-25,,2
TA38003,T3801,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,4,2027-01-25,,3
TA38004,T3801,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,5,2027-01-25,,1
TA38011,T3802,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-02-01,,2
TA38012,T3802,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,4,2027-02-01,,3
TA38013,T3802,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,5,2027-02-01,,1
TA38014,T3802,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-02-01,,2
TA38021,T3803,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-02-08,,3
TA38022,T3803,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,5,2027-02-08,,1
TA38023,T3803,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-02-08,,2
TA38024,T3803,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,5,2027-02-08,,3
TA38031,T3804,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-01-25,,1
TA38032,T3804,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-01-25,,2
TA38033,T3804,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,5,2027-01-25,,3
TA38034,T3804,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,4,2027-01-25,,1
TA38041,T3805,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,4,2027-02-01,,2
TA38042,T3805,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,5,2027-02-01,,3
TA38043,T3805,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,4,2027-02-01,,1
TA38044,T3805,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,5,2027-02-01,,2
TA38051,T3806,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-02-08,,3
TA38052,T3806,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,4,2027-02-08,,1
TA38053,T3806,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,5,2027-02-08,,2
TA38054,T3806,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,4,2027-02-08,,3
TA38061,T3807,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,4,2027-01-25,,1
TA38062,T3807,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,5,2027-01-25,,2
TA38063,T3807,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,4,2027-01-25,,3
TA38064,T3807,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,5,2027-01-25,,1
TA38071,T3808,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-02-01,,2
TA38072,T3808,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,4,2027-02-01,,3
TA38073,T3808,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,5,2027-02-01,,1
TA38074,T3808,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,4,2027-02-01,,2
