activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA39001,T3901,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,1
TA39002,T3901,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,2
TA39011,T3902,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA39012,T3902,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,3
TA39021,T3903,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,3
TA39022,T3903,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,1
TA39031,T3904,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,1
TA39032,T3904,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,2
TA39041,T3905,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,2
TA39042,T3905,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,3
TA39051,T3906,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA39052,T3906,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,1
TA39061,T3907,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,1
TA39062,T3907,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,2
TA39071,T3908,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,2
TA39072,T3908,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,3
TA39081,T3909,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-11,,3
TA39082,T3909,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2027-01-11,,1
TA39091,T3910,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,1
TA39092,T3910,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-11,,2
TA39101,T3911,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,2
TA39102,T3911,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-11,,3
TA39111,T3912,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-11,,3
TA39112,T3912,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-11,,1
