contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T4001,Rigid deadline failure 1,2063-04-08,Renewal,Non-live (Others),1,2027-07-25,2027-05-02,1,PM,3
T4002,Rigid deadline failure 2,2063-04-25,Construction,Non-live (Others),2,2027-07-25,2027-05-02,1,PM,3
T4003,Rigid deadline failure 3,2063-05-12,Renewal,Non-live (Others),3,2027-07-25,2027-05-02,1,PM,3
T4004,Rigid deadline failure 4,2063-05-29,Construction,Non-live (Others),1,2027-07-25,2027-05-02,1,PM,3
T4005,Rigid deadline failure 5,2063-06-15,Renewal,Non-live (Others),2,2027-07-25,2027-05-02,1,PM,3
T4006,Rigid deadline failure 6,2063-07-02,Construction,Non-live (Others),3,2027-07-25,2027-05-02,1,PM,3
T4007,Rigid deadline failure 7,2063-07-19,Renewal,Non-live (Others),1,2027-07-25,2027-05-02,1,PM,3
T4008,Rigid deadline failure 8,2063-08-05,Construction,Non-live (Others),2,2027-07-25,2027-05-02,1,PM,3
T4009,Rigid deadline failure 9,2063-08-22,Renewal,Non-live (Others),3,2027-07-25,2027-05-02,1,PM,3
T4010,Rigid deadline failure 10,2063-09-08,Construction,Non-live (Others),1,2027-07-25,2027-05-02,1,PM,3
