activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA40001,T4001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-04-12,,1
TA40002,T4001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-04-12,,2
TA40003,T4001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-04-12,,3
TA40011,T4002,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-04-12,,2
TA40012,T4002,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-04-12,,3
TA40013,T4002,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-04-12,,1
TA40021,T4003,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-04-12,,3
TA40022,T4003,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-04-12,,1
TA40023,T4003,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-04-12,,2
TA40031,T4004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-04-12,,1
TA40032,T4004,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,4,2027-04-12,,2
TA40033,T4004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-04-12,,3
TA40041,T4005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-04-12,,2
TA40042,T4005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-04-12,,3
TA40043,T4005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-04-12,,1
TA40051,T4006,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-04-12,,3
TA40052,T4006,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-04-12,,1
TA40053,T4006,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-04-12,,2
TA40061,T4007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-04-12,,1
TA40062,T4007,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-04-12,,2
TA40063,T4007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,4,2027-04-12,,3
TA40071,T4008,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-04-12,,2
TA40072,T4008,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,4,2027-04-12,,3
TA40073,T4008,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-04-12,,1
TA40081,T4009,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-04-12,,3
TA40082,T4009,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-04-12,,1
TA40083,T4009,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,4,2027-04-12,,2
TA40091,T4010,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-04-12,,1
TA40092,T4010,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-04-12,,2
TA40093,T4010,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-04-12,,3
