contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T4101,Priority inversion programme 1,2064-03-13,Construction,Non-live (Others),1,2027-07-11,2027-03-14,1,PM,3
T4102,Priority inversion programme 2,2064-03-30,Renewal,Non-live (Others),1,2027-07-11,2027-03-14,1,PM,3
T4103,Priority inversion programme 3,2064-04-16,Construction,Non-live (Others),1,2027-07-11,2027-03-14,1,PM,3
T4104,Priority inversion programme 4,2064-05-03,Renewal,Non-live (Others),1,2027-07-11,2027-03-14,1,PM,3
T4105,Priority inversion programme 5,2064-05-20,Construction,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4106,Priority inversion programme 6,2064-06-06,Renewal,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4107,Priority inversion programme 7,2064-06-23,Construction,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4108,Priority inversion programme 8,2064-07-10,Renewal,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4109,Priority inversion programme 9,2064-07-27,Construction,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4110,Priority inversion programme 10,2064-08-13,Renewal,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4111,Priority inversion programme 11,2064-08-30,Construction,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4112,Priority inversion programme 12,2064-09-16,Renewal,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4113,Priority inversion programme 13,2064-10-03,Construction,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
T4114,Priority inversion programme 14,2064-10-20,Renewal,Non-live (Others),3,2027-07-11,2027-03-14,1,PM,3
