activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA41001,T4101,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
TA41002,T4101,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,2,2027-01-04,,2
TA41011,T4102,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-04,,2
TA41012,T4102,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,2,2027-01-04,,3
TA41021,T4103,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-04,,3
TA41022,T4103,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-04,,1
TA41031,T4104,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
TA41032,T4104,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-04,,2
TA41041,T4105,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-01-04,,2
TA41042,T4105,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-01-04,,3
TA41051,T4106,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-01-04,,3
TA41052,T4106,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-01-04,,1
TA41061,T4107,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-01-04,,1
TA41062,T4107,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-01-04,,2
TA41071,T4108,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-01-04,,2
TA41072,T4108,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-01-04,,3
TA41081,T4109,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-01-04,,3
TA41082,T4109,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-01-04,,1
TA41091,T4110,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-01-04,,1
TA41092,T4110,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-01-04,,2
TA41101,T4111,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-01-04,,2
TA41102,T4111,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-01-04,,3
TA41111,T4112,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,5,2027-01-04,,3
TA41112,T4112,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-01-04,,1
TA41121,T4113,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,5,2027-01-04,,1
TA41122,T4113,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,5,2027-01-04,,2
TA41131,T4114,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,5,2027-01-04,,2
TA41132,T4114,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-01-04,,3
