activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA42001,T4201,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA42011,T4202,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA42021,T4203,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA42031,T4204,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA42041,T4205,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA42051,T4206,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA42061,T4207,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA42071,T4208,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA42081,T4209,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA42091,T4210,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA42101,T4211,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA42111,T4212,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA42121,T4213,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA42131,T4214,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA42141,T4215,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA42151,T4216,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA42161,T4217,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA42171,T4218,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA42181,T4219,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA42191,T4220,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA42201,T4221,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA42211,T4222,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA42221,T4223,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA42231,T4224,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
